iter	Passed	Remaining
0	0	98
1	3	191
2	4	160
3	5	139
4	7	144
5	8	139
6	10	141
7	11	136
8	12	128
9	15	137
10	17	140
11	18	138
12	20	133
13	21	131
14	23	132
15	25	132
16	28	138
17	29	134
18	31	134
19	33	133
20	34	130
21	35	126
22	37	123
23	38	123
24	41	124
25	43	122
26	44	120
27	46	118
28	47	116
29	49	115
30	52	116
31	54	114
32	55	113
33	57	111
34	59	109
35	60	107
36	62	107
37	65	106
38	67	105
39	69	103
40	70	102
41	71	98
42	73	96
43	74	95
44	77	94
45	79	92
46	80	90
47	82	89
48	83	87
49	85	85
50	86	83
51	88	81
52	90	80
53	92	78
54	93	76
55	94	74
56	95	72
57	97	70
58	98	68
59	99	66
60	101	65
61	103	63
62	104	61
63	106	59
64	107	57
65	108	55
66	109	54
67	110	52
68	112	50
69	113	48
70	115	47
71	116	45
72	117	43
73	118	41
74	119	39
75	120	38
76	122	36
77	123	34
78	124	32
79	125	31
80	126	29
81	128	28
82	129	26
83	131	24
84	132	23
85	133	21
86	134	20
87	135	18
88	136	16
89	138	15
90	139	13
91	140	12
92	141	10
93	142	9
94	143	7
95	144	6
96	144	4
97	145	2
98	146	1
99	147	0
