iter	Passed	Remaining
0	129	129055
1	131	65654
2	133	44424
3	135	33749
4	137	27311
5	139	23150
6	141	20091
7	143	17744
8	144	15915
9	145	14447
10	147	13281
11	149	12287
12	150	11438
13	152	10737
14	154	10132
15	155	9563
16	157	9083
17	158	8649
18	159	8250
19	161	7893
20	162	7569
21	164	7323
22	167	7108
23	169	6875
24	170	6644
25	171	6434
26	174	6275
27	175	6091
28	177	5926
29	178	5765
30	179	5620
31	182	5507
32	183	5385
33	185	5266
34	186	5153
35	188	5037
36	189	4933
37	191	4836
38	192	4743
39	193	4652
40	197	4608
41	198	4523
42	199	4446
43	201	4368
44	202	4300
45	203	4229
46	205	4159
47	206	4099
48	207	4032
49	208	3970
50	211	3932
51	212	3877
52	213	3817
53	214	3759
54	215	3703
55	216	3652
56	217	3599
57	218	3550
58	219	3503
59	220	3454
60	221	3413
61	222	3372
62	224	3335
63	225	3297
64	226	3260
65	227	3224
66	229	3189
67	229	3151
68	231	3119
69	232	3086
70	233	3054
71	234	3023
72	235	2993
73	236	2961
74	237	2933
75	238	2905
76	241	2892
77	242	2863
78	243	2835
79	244	2809
80	245	2782
81	246	2759
82	247	2729
83	248	2707
84	249	2684
85	250	2661
86	251	2640
87	252	2619
88	253	2598
89	255	2578
90	256	2563
91	257	2545
92	259	2527
93	260	2508
94	261	2490
95	262	2469
96	263	2451
97	264	2432
98	265	2414
99	266	2398
100	267	2382
101	268	2366
102	270	2358
103	271	2343
104	273	2327
105	274	2312
106	275	2296
107	276	2283
108	277	2269
109	278	2256
110	279	2242
111	280	2227
112	282	2213
113	283	2199
114	284	2186
115	285	2173
116	286	2161
117	287	2148
118	288	2135
119	289	2123
120	290	2112
121	291	2100
122	292	2088
123	294	2077
124	295	2066
125	296	2055
126	297	2043
127	298	2032
128	299	2021
129	300	2013
130	301	2002
131	303	1993
132	304	1984
133	305	1974
134	306	1965
135	307	1954
136	308	1945
137	309	1936
138	311	1926
139	312	1919
140	313	1910
141	314	1899
142	315	1893
143	317	1885
144	318	1876
145	319	1868
146	320	1860
147	321	1852
148	322	1844
149	323	1835
150	325	1827
151	325	1818
152	326	1810
153	328	1801
154	329	1796
155	330	1790
156	332	1783
157	333	1776
158	334	1769
159	335	1761
160	336	1751
161	337	1744
162	338	1736
163	339	1729
164	340	1723
165	341	1716
166	342	1708
167	343	1701
168	344	1694
169	346	1689
170	347	1683
171	348	1678
172	349	1671
173	350	1665
174	352	1660
175	353	1654
176	354	1647
177	355	1641
178	356	1635
179	357	1630
180	359	1626
181	361	1623
182	362	1617
183	363	1611
184	364	1606
185	365	1600
186	366	1595
187	368	1589
188	369	1583
189	370	1577
190	371	1573
191	372	1568
192	374	1564
193	375	1561
194	376	1555
195	378	1550
196	379	1545
197	380	1541
198	381	1537
199	383	1532
200	384	1527
201	385	1522
202	386	1516
203	387	1511
204	388	1506
205	389	1502
206	391	1499
207	392	1496
208	394	1491
209	395	1486
210	396	1482
211	397	1477
212	398	1472
213	399	1467
214	400	1463
215	402	1459
216	403	1454
217	404	1449
218	405	1445
219	406	1442
220	407	1437
221	409	1433
222	410	1429
223	411	1426
224	412	1421
225	413	1417
226	414	1412
227	415	1408
228	417	1404
229	418	1400
230	419	1397
231	421	1393
232	422	1390
233	423	1385
234	424	1381
235	425	1378
236	426	1374
237	428	1370
238	429	1366
239	430	1362
240	431	1358
241	432	1354
242	433	1351
243	435	1348
244	436	1344
245	437	1340
246	438	1336
247	439	1332
248	440	1328
249	441	1324
250	442	1320
251	443	1317
252	444	1313
253	446	1310
254	447	1306
255	448	1302
256	449	1300
257	451	1297
258	452	1294
259	453	1291
260	454	1287
261	455	1283
262	456	1279
263	457	1275
264	458	1272
265	459	1269
266	461	1266
267	462	1262
268	463	1258
269	464	1256
270	465	1253
271	466	1249
272	467	1245
273	468	1242
274	469	1238
275	470	1235
276	472	1232
277	473	1229
278	474	1226
279	475	1223
280	476	1220
281	478	1217
282	479	1213
283	480	1211
284	481	1208
285	482	1204
286	483	1202
287	485	1199
288	486	1196
289	487	1193
290	488	1189
291	489	1186
292	490	1183
293	492	1181
294	493	1179
295	495	1177
296	496	1175
297	498	1173
298	499	1170
299	500	1167
300	502	1165
301	504	1165
302	505	1162
303	506	1159
304	507	1156
305	509	1154
306	511	1153
307	512	1151
308	514	1149
309	515	1147
310	516	1145
311	518	1142
312	519	1139
313	520	1137
314	521	1134
315	522	1131
316	524	1129
317	525	1127
318	526	1124
319	528	1123
320	530	1121
321	531	1119
322	532	1116
323	533	1113
324	534	1111
325	536	1108
326	537	1106
327	539	1104
328	540	1103
329	542	1101
330	543	1098
331	545	1096
332	546	1094
333	547	1091
334	548	1088
335	549	1086
336	550	1083
337	551	1080
338	553	1078
339	554	1076
340	556	1074
341	557	1073
342	558	1070
343	560	1068
344	561	1066
345	563	1064
346	564	1061
347	565	1059
348	566	1057
349	568	1054
350	569	1053
351	571	1052
352	573	1050
353	574	1049
354	576	1047
355	577	1045
356	579	1042
357	580	1040
358	581	1038
359	582	1036
360	584	1033
361	585	1031
362	586	1029
363	588	1027
364	589	1025
365	590	1023
366	592	1021
367	593	1019
368	594	1016
369	595	1014
370	596	1011
371	597	1009
372	599	1007
373	601	1006
374	602	1004
375	603	1002
376	605	999
377	606	997
378	607	995
379	608	993
380	609	990
381	611	988
382	612	986
383	613	984
384	614	982
385	616	980
386	618	978
387	619	976
388	620	974
389	621	971
390	622	969
391	623	967
392	624	965
393	626	962
394	627	960
395	628	959
396	630	957
397	631	955
398	633	953
399	634	951
400	636	950
401	637	947
402	638	945
403	639	943
404	640	940
405	641	938
406	643	937
407	644	935
408	645	933
409	647	931
410	648	929
411	650	927
412	651	925
413	652	923
414	653	920
415	654	918
416	655	916
417	656	914
418	658	913
419	660	911
420	661	909
421	662	907
422	663	905
423	665	903
424	666	901
425	667	899
426	668	897
427	669	895
428	671	893
429	672	891
430	673	889
431	674	887
432	676	885
433	677	883
434	678	881
435	679	879
436	681	877
437	682	875
438	683	873
439	684	871
440	685	869
441	686	867
442	688	865
443	689	863
444	691	862
445	692	860
446	694	858
447	695	856
448	696	854
449	697	852
450	698	849
451	699	847
452	700	846
453	702	844
454	703	842
455	704	840
456	706	839
457	707	837
458	708	835
459	709	833
460	710	831
461	712	829
462	713	827
463	714	825
464	715	823
465	717	821
466	718	820
467	720	818
468	721	817
469	723	815
470	724	813
471	725	811
472	726	809
473	727	807
474	728	804
475	729	803
476	730	801
477	732	799
478	734	798
479	735	797
480	736	795
481	738	793
482	739	791
483	740	789
484	741	787
485	743	786
486	744	783
487	745	782
488	747	780
489	748	779
490	750	777
491	751	775
492	752	774
493	754	772
494	755	770
495	755	768
496	757	766
497	758	764
498	759	762
499	760	760
500	762	759
501	764	758
502	765	756
503	766	754
504	768	752
505	769	751
506	770	749
507	771	747
508	772	745
509	773	743
510	775	741
511	776	739
512	777	738
513	778	736
514	780	734
515	781	733
516	783	731
517	784	729
518	785	727
519	786	726
520	787	724
521	788	722
522	789	720
523	790	718
524	792	716
525	793	715
526	794	713
527	795	711
528	797	710
529	798	708
530	799	706
531	800	704
532	802	702
533	803	700
534	804	699
535	805	697
536	806	695
537	808	694
538	809	692
539	811	691
540	812	689
541	813	687
542	815	685
543	816	684
544	817	682
545	818	680
546	819	678
547	820	677
548	822	675
549	823	673
550	824	672
551	826	670
552	827	669
553	829	667
554	830	665
555	831	663
556	832	662
557	833	660
558	834	658
559	835	656
560	837	655
561	838	653
562	839	651
563	840	650
564	842	648
565	843	646
566	844	645
567	846	643
568	847	641
569	847	639
570	849	638
571	850	636
572	851	634
573	852	632
574	853	631
575	855	629
576	857	628
577	858	626
578	859	625
579	861	623
580	862	621
581	863	620
582	864	618
583	865	616
584	867	615
585	869	613
586	870	612
587	871	610
588	872	608
589	873	607
590	875	605
591	876	603
592	877	602
593	879	600
594	880	599
595	881	597
596	883	596
597	884	594
598	886	593
599	888	592
600	889	590
601	890	588
602	892	587
603	893	585
604	894	584
605	896	582
606	897	581
607	899	579
608	900	578
609	902	576
610	903	575
611	904	573
612	905	571
613	906	570
614	908	568
615	909	566
616	910	565
617	912	563
618	913	562
619	915	560
620	916	559
621	917	557
622	918	555
623	921	555
624	922	553
625	923	552
626	925	550
627	927	549
628	928	547
629	930	546
630	931	544
631	933	543
632	934	541
633	935	540
634	936	538
635	938	536
636	939	535
637	940	533
638	941	532
639	943	530
640	945	529
641	946	527
642	948	526
643	949	524
644	951	523
645	952	521
646	953	520
647	955	518
648	956	517
649	957	515
650	959	514
651	961	513
652	962	511
653	963	509
654	965	508
655	966	506
656	967	505
657	968	503
658	971	502
659	973	501
660	975	500
661	976	498
662	977	496
663	979	495
664	980	494
665	982	492
666	983	490
667	984	489
668	986	488
669	988	486
670	989	485
671	991	483
672	992	482
673	994	480
674	995	479
675	996	477
676	997	476
677	999	474
678	1000	473
679	1002	471
680	1003	470
681	1005	468
682	1007	467
683	1008	465
684	1009	464
685	1011	462
686	1012	461
687	1014	460
688	1016	458
689	1018	457
690	1020	456
691	1021	454
692	1022	453
693	1024	451
694	1025	450
695	1026	448
696	1028	447
697	1029	445
698	1030	443
699	1032	442
700	1034	441
701	1036	439
702	1037	438
703	1038	436
704	1039	435
705	1041	433
706	1042	431
707	1044	430
708	1045	429
709	1047	427
710	1049	426
711	1050	424
712	1052	423
713	1053	422
714	1055	420
715	1056	419
716	1057	417
717	1059	416
718	1060	414
719	1062	413
720	1064	411
721	1065	410
722	1067	408
723	1068	407
724	1069	405
725	1071	404
726	1072	402
727	1073	401
728	1076	400
729	1077	398
730	1079	397
731	1081	395
732	1082	394
733	1083	392
734	1085	391
735	1086	389
736	1087	387
737	1088	386
738	1090	385
739	1092	383
740	1093	382
741	1095	380
742	1096	379
743	1097	377
744	1099	376
745	1100	374
746	1101	373
747	1102	371
748	1104	370
749	1106	368
750	1107	367
751	1109	365
752	1110	364
753	1111	362
754	1112	360
755	1113	359
756	1114	357
757	1115	356
758	1117	354
759	1119	353
760	1120	352
761	1122	350
762	1125	349
763	1127	348
764	1128	346
765	1130	345
766	1131	343
767	1132	342
768	1134	340
769	1135	339
770	1137	337
771	1138	336
772	1140	334
773	1141	333
774	1142	331
775	1144	330
776	1145	328
777	1146	327
778	1148	325
779	1149	324
780	1151	322
781	1152	321
782	1154	319
783	1155	318
784	1157	316
785	1158	315
786	1159	313
787	1160	312
788	1161	310
789	1163	309
790	1164	307
791	1165	306
792	1167	304
793	1168	303
794	1170	301
795	1171	300
796	1172	298
797	1173	297
798	1174	295
799	1175	293
800	1177	292
801	1178	290
802	1180	289
803	1181	288
804	1183	286
805	1184	285
806	1185	283
807	1186	281
808	1187	280
809	1188	278
810	1189	277
811	1191	275
812	1192	274
813	1193	272
814	1195	271
815	1197	269
816	1198	268
817	1199	266
818	1201	265
819	1202	263
820	1203	262
821	1204	260
822	1205	259
823	1206	257
824	1207	256
825	1208	254
826	1210	253
827	1211	251
828	1213	250
829	1214	248
830	1215	247
831	1217	245
832	1219	244
833	1220	242
834	1221	241
835	1222	239
836	1224	238
837	1225	236
838	1226	235
839	1227	233
840	1229	232
841	1230	230
842	1231	229
843	1232	227
844	1233	226
845	1234	224
846	1235	223
847	1236	221
848	1237	220
849	1238	218
850	1240	217
851	1241	215
852	1242	214
853	1243	212
854	1244	211
855	1245	209
856	1247	208
857	1248	206
858	1249	205
859	1250	203
860	1251	202
861	1252	200
862	1254	199
863	1255	197
864	1257	196
865	1258	194
866	1259	193
867	1260	191
868	1261	190
869	1262	188
870	1264	187
871	1265	185
872	1266	184
873	1267	182
874	1268	181
875	1270	179
876	1271	178
877	1272	176
878	1273	175
879	1275	173
880	1276	172
881	1277	170
882	1278	169
883	1279	167
884	1280	166
885	1282	164
886	1283	163
887	1284	162
888	1286	160
889	1287	159
890	1289	157
891	1290	156
892	1291	154
893	1293	153
894	1294	151
895	1295	150
896	1296	148
897	1297	147
898	1298	145
899	1300	144
900	1301	143
901	1302	141
902	1304	140
903	1305	138
904	1306	137
905	1307	135
906	1308	134
907	1310	132
908	1311	131
909	1313	129
910	1315	128
911	1316	127
912	1317	125
913	1318	124
914	1319	122
915	1320	121
916	1321	119
917	1323	118
918	1324	116
919	1325	115
920	1326	113
921	1327	112
922	1328	110
923	1329	109
924	1330	107
925	1331	106
926	1332	104
927	1334	103
928	1335	102
929	1336	100
930	1337	99
931	1338	97
932	1339	96
933	1340	94
934	1341	93
935	1342	91
936	1343	90
937	1345	88
938	1346	87
939	1347	86
940	1348	84
941	1349	83
942	1350	81
943	1351	80
944	1352	78
945	1353	77
946	1354	75
947	1356	74
948	1357	72
949	1358	71
950	1359	70
951	1360	68
952	1361	67
953	1362	65
954	1364	64
955	1365	62
956	1366	61
957	1367	59
958	1369	58
959	1370	57
960	1371	55
961	1372	54
962	1374	52
963	1375	51
964	1376	49
965	1377	48
966	1378	47
967	1379	45
968	1381	44
969	1382	42
970	1383	41
971	1384	39
972	1385	38
973	1386	37
974	1388	35
975	1389	34
976	1390	32
977	1391	31
978	1393	29
979	1394	28
980	1395	27
981	1396	25
982	1397	24
983	1398	22
984	1399	21
985	1400	19
986	1402	18
987	1403	17
988	1404	15
989	1406	14
990	1407	12
991	1408	11
992	1409	9
993	1410	8
994	1411	7
995	1413	5
996	1414	4
997	1415	2
998	1416	1
999	1417	0
